0,9961,19800,2749,17132,11869,9475,10029,27823,30072,6841,23137,8778,3746,10556,22076,6789,3872,15285,16670,23543,23993,29518,9332,24841
11358,0,20111,10143,23537,4234,9786,68,35634,37883,12042,30948,9352,12339,10867,30802,9115,12965,21690,26670,23853,31804,37330,17294,25152
15106,19434,0,14081,24401,19189,11505,19502,25531,25449,18832,26163,11099,11582,8687,14889,12638,11727,22553,23938,7886,27554,24895,7941,8516
2783,10840,18526,0,21470,10595,8201,10909,32443,34692,11131,27757,7504,2128,9282,26696,3402,3823,18499,20379,22269,28613,34139,8093,23567
20460,25827,26022,22701,0,29747,27354,25895,17988,17611,15414,14356,26656,19837,28434,18931,24672,21360,2185,1607,23942,11652,17687,17215,23795
11536,4131,20288,10321,27559,0,9964,4200,39656,41905,16064,34970,6790,12517,11045,30980,9293,13143,25712,26848,24031,35826,41352,17472,25330
9185,9066,12971,4400,24304,8820,0,9134,34303,34222,15248,31989,2846,3896,3849,23662,1399,6137,22456,23841,16714,32845,33668,10154,18012
11426,68,20179,10211,23605,4302,9854,0,35702,37951,12111,31016,9420,12407,10935,30870,9184,13034,21758,26738,23922,31873,37398,17362,25220
28465,37714,27622,34538,18007,41187,33622,37782,0,2713,29388,9803,35314,32402,34377,13276,34756,30716,19729,19959,20179,7011,1119,27893,20032
28335,37584,27492,34408,18832,41057,33492,37652,2728,0,29258,9672,35184,32272,34247,13146,34626,30585,20553,20783,20049,10717,2093,27763,19902
7036,11773,19242,10976,13291,15246,15629,11841,26927,29177,0,22241,14932,13058,16710,21180,12948,7935,12276,12200,23212,23098,28623,13047,24510
21142,30391,31263,27215,14682,33864,30718,30459,7379,9629,22065,0,31170,25079,31473,7339,29186,23393,16403,16633,20662,3583,9075,20884,20515
9497,9377,13545,5693,24878,7039,2458,9445,34878,34796,15560,32186,0,5772,2931,24237,2585,12204,23031,24808,17288,33043,34243,10728,18587
4133,10343,11785,2304,18403,10965,4081,10411,30774,33023,14151,26087,5675,0,5876,22620,3518,2960,16555,17940,15671,26944,32469,6427,16970
11550,11431,9504,8593,25133,9992,3509,11499,35132,35051,17614,32817,3413,6062,0,24491,4609,12459,23285,24670,17543,33674,34497,10983,18841
18954,31203,17274,25027,17036,30958,23273,31271,13336,13255,19878,7346,24966,23699,24028,0,24407,23022,18757,18987,9830,15013,12701,17544,9683
7163,9881,13786,3477,23565,8045,2008,9949,35119,35037,13226,29852,2989,3850,4664,24478,0,6090,20594,22475,17529,30709,34483,10969,18827
3398,14119,11930,4291,16933,13873,5904,14187,29304,31554,11365,24618,10782,3138,12140,22848,6349,0,15086,16471,15899,25475,31000,5722,17198
18132,23498,22707,20373,2744,27419,25026,23567,20226,19850,13086,16594,24328,16523,26106,23123,22344,19032,0,2282,28133,13890,19925,16512,27987
18544,23911,29051,20785,1373,27831,25438,23979,20382,20005,13498,16750,24740,22292,26518,23279,22756,19444,2474,0,28289,14046,20081,22855,28142
18853,23655,9726,17828,26330,23410,15726,23723,20414,20332,22579,21046,17418,16151,16481,9773,16860,15474,26300,27685,0,22437,19778,9997,1409
20832,30081,30953,26905,11990,33554,30408,30149,6980,7177,21755,3181,30860,24769,31163,14415,28876,23083,13712,13942,20352,0,9538,20574,20205
25708,34957,26987,31781,17676,38430,32987,35025,1096,2381,26631,7046,34679,29645,33742,12641,34121,27959,19397,19627,19544,7093,0,27258,19397
9166,17562,8241,8143,18461,17317,9633,17630,27725,27643,12892,21319,11325,6512,10388,17084,10767,5789,16614,17999,10135,22175,27089,0,11434
19903,24705,10776,18878,26185,24460,16776,24774,20269,20187,23629,20901,18468,17201,17531,9628,17910,16524,27351,28736,1436,22293,19634,11047,0
